Themenbereich,Geschlecht,Prozent
Sonstiges,weiblich,"0,382"
Kriminalität / Katastrophen,weiblich,"0,423"
Religion,weiblich,"0,321"
Service,weiblich,"0,333"
Prominenz / Personality,weiblich,"0,391"
Sport,weiblich,"0,18"
Gesundheit,weiblich,"0,346"
Wirtschaft,weiblich,"0,201"
Politik,weiblich,"0,284"
Sonstiges,männlich,"0,618"
Kriminalität / Katastrophen,männlich,"0,577"
Religion,männlich,"0,679"
Service,männlich,"0,667"
Prominenz / Personality,männlich,"0,609"
Sport,männlich,"0,82"
Gesundheit,männlich,"0,654"
Wirtschaft,männlich,"0,799"
Politik,männlich,"0,716"
