Sendung,Typ,Prozent
Anne Will,Journalist:innen,"18,7"
Beckmann,Journalist:innen,"16,3"
Günther Jauch,Journalist:innen,"15,8"
hart aber fair,Journalist:innen,"20,7"
log in,Journalist:innen,10
maybrit illner,Journalist:innen,"11,8"
Menschen bei Maischberger,Journalist:innen,"10,1"
Anne Will,Expert:innen,"16,4"
Beckmann,Expert:innen,"16,3"
Günther Jauch,Expert:innen,"14,3"
hart aber fair,Expert:innen,"13,5"
log in,Expert:innen,"12,5"
maybrit illner,Expert:innen,"13,9"
Menschen bei Maischberger,Expert:innen,21
