Sendung,Partei,Prozent
Menschen bei Maischberger,CDU / CSU,"37,1"
maybrit illner,CDU / CSU,"34,5"
log in,CDU / CSU,"31,7"
hart aber fair,CDU / CSU,"40,5"
Günther Jauch,CDU / CSU,"36,4"
Beckmann,CDU / CSU,"34,2"
Anne Will,CDU / CSU,"37,1"
Bundestagswahl 2009,CDU / CSU,"33,80"
Menschen bei Maischberger,SPD,"28,6"
maybrit illner,SPD,"19,5"
log in,SPD,"10,0"
hart aber fair,SPD,"21,4"
Günther Jauch,SPD,"22,7"
Beckmann,SPD,"31,6"
Anne Will,SPD,"17,7"
Bundestagswahl 2009,SPD,"23,0"
Menschen bei Maischberger,FDP,"8,6"
maybrit illner,FDP,"19,5"
log in,FDP,"20,0"
hart aber fair,FDP,"16,7"
Günther Jauch,FDP,"17,0"
Beckmann,FDP,"15,8"
Anne Will,FDP,"17,7"
Bundestagswahl 2009,FDP,"14,6"
Menschen bei Maischberger,Grüne,"5,7"
maybrit illner,Grüne,"14,9"
log in,Grüne,"16,7"
hart aber fair,Grüne,"16,7"
Günther Jauch,Grüne,"9,1"
Beckmann,Grüne,"10,5"
Anne Will,Grüne,"4,8"
Bundestagswahl 2009,Grüne,"10,7"
Menschen bei Maischberger,Die Linke.,"11,4"
maybrit illner,Die Linke.,"8,0"
log in,Die Linke.,"11,7"
hart aber fair,Die Linke.,"2,4"
Günther Jauch,Die Linke.,"12,5"
Beckmann,Die Linke.,"2,6"
Anne Will,Die Linke.,"17,7"
Bundestagswahl 2009,Die Linke.,"11,9"
Menschen bei Maischberger,Piratenpartei,"2,9"
maybrit illner,Piratenpartei,"3,4"
log in,Piratenpartei,"10,0"
hart aber fair,Piratenpartei,"0"
Günther Jauch,Piratenpartei,"2,3"
Beckmann,Piratenpartei,"5,3"
Anne Will,Piratenpartei,"1,6"
Bundestagswahl 2009,Piratenpartei,2
Menschen bei Maischberger,Sonstige,"5,7"
maybrit illner,Sonstige,"0"
log in,Sonstige,"0"
hart aber fair,Sonstige,"2,4"
Günther Jauch,Sonstige,"0"
Beckmann,Sonstige,"0"
Anne Will,Sonstige,"3,2"
Bundestagswahl 2009,Sonstige,"3,5"
Alle Sendungen,CDU / CSU,"35,7"
Alle Sendungen,SPD,"20,6"
Alle Sendungen,FDP,"17,2"
Alle Sendungen,Grüne,"11,4"
Alle Sendungen,Die Linke.,"10,2"
Alle Sendungen,Piratenpartei,"3,6"
Alle Sendungen,Sonstige,"1,2"
