Sendung,Partei,Prozent
Alle Sendungen,CDU / CSU,"0,373737374"
Alle Sendungen,SPD,"0,191919192"
Alle Sendungen,FDP,"0,191919192"
Alle Sendungen,Grüne,"0,080808081"
Alle Sendungen,Die Linke.,"0,141414141"
Alle Sendungen,Sonstige,"0,02020202"
Anne Will,CDU / CSU,"0,3"
Anne Will,SPD,"0,2"
Anne Will,FDP,"0,15"
Anne Will,Grüne,0
Anne Will,Die Linke.,"0,25"
Anne Will,Sonstige,"0,1"
Beckmann,CDU / CSU,"0,5"
Beckmann,SPD,0
Beckmann,FDP,"0,5"
Beckmann,Grüne,0
Beckmann,Die Linke.,0
Beckmann,Sonstige,0
Bundestagswahl 2009,CDU / CSU,"0,338"
Bundestagswahl 2009,SPD,"0,23"
Bundestagswahl 2009,FDP,"0,146"
Bundestagswahl 2009,Grüne,"0,107"
Bundestagswahl 2009,Die Linke.,"0,119"
Bundestagswahl 2009,Sonstige,"0,06"
Günther Jauch,CDU / CSU,"0,307692308"
Günther Jauch,SPD,"0,307692308"
Günther Jauch,FDP,"0,076923077"
Günther Jauch,Grüne,"0,076923077"
Günther Jauch,Die Linke.,"0,230769231"
Günther Jauch,Sonstige,0
hart aber fair,CDU / CSU,"0,428571429"
hart aber fair,SPD,"0,142857143"
hart aber fair,FDP,"0,285714286"
hart aber fair,Grüne,"0,142857143"
hart aber fair,Die Linke.,0
hart aber fair,Sonstige,0
log in,CDU / CSU,"0,5"
log in,SPD,0
log in,FDP,"0,2"
log in,Grüne,"0,1"
log in,Die Linke.,"0,2"
log in,Sonstige,0
maybrit illner,CDU / CSU,"0,333333333"
maybrit illner,SPD,"0,222222222"
maybrit illner,FDP,"0,222222222"
maybrit illner,Grüne,"0,138888889"
maybrit illner,Die Linke.,"0,083333333"
maybrit illner,Sonstige,0
Menschen bei Maischberger,CDU / CSU,"0,555555556"
Menschen bei Maischberger,SPD,"0,222222222"
Menschen bei Maischberger,FDP,"0,111111111"
Menschen bei Maischberger,Grüne,0
Menschen bei Maischberger,Die Linke.,"0,111111111"
Menschen bei Maischberger,Sonstige,0
