Sendung,Politikbereich,AbsAnteil,ProzAnteil
Gesamt,Innenpolitik,"0,584","58,4"
Gesamt,Außenpolitik,"0,064","6,4"
Gesamt,Umwelt- / Energiepolitik,"0,08",8
Gesamt,Sozialpolitik,"0,224","22,4"
Gesamt,Bildungspolitik,"0,008","0,8"
Gesamt,Sonstige Politik,"0,04",4
ARD-Talks,Innenpolitik,"0,571","57,1"
ARD-Talks,Außenpolitik,"0,06",6
ARD-Talks,Umwelt- / Energiepolitik,"0,06",6
ARD-Talks,Sozialpolitik,"0,25",25
ARD-Talks,Bildungspolitik,"0,012","1,2"
ARD-Talks,Sonstige Politik,"0,048","4,8"
Anne Will,Innenpolitik,"0,5",50
Anne Will,Außenpolitik,"0,05",5
Anne Will,Umwelt- / Energiepolitik,"0,05",5
Anne Will,Sozialpolitik,"0,35",35
Anne Will,Bildungspolitik,0,0
Anne Will,Sonstige Politik,"0,05",5
Beckmann,Innenpolitik,"0,8125","81,25"
Beckmann,Außenpolitik,"0,0625","6,25"
Beckmann,Umwelt- / Energiepolitik,0,0
Beckmann,Sozialpolitik,"0,125","12,5"
Beckmann,Bildungspolitik,0,0
Beckmann,Sonstige Politik,0,0
Günther Jauch,Innenpolitik,"0,615384615384615","61,5384615384615"
Günther Jauch,Außenpolitik,"0,076923076923077","7,69230769230769"
Günther Jauch,Umwelt- / Energiepolitik,"0,076923076923077","7,69230769230769"
Günther Jauch,Sozialpolitik,"0,153846153846154","15,3846153846154"
Günther Jauch,Bildungspolitik,"0,038461538461539","3,84615384615385"
Günther Jauch,Sonstige Politik,"0,038461538461539","3,84615384615385"
Hart aber fair,Innenpolitik,"0,416666666666667","41,6666666666667"
Hart aber fair,Außenpolitik,"0,083333333333333","8,33333333333333"
Hart aber fair,Umwelt- / Energiepolitik,"0,083333333333333","8,33333333333333"
Hart aber fair,Sozialpolitik,"0,333333333333333","33,3333333333333"
Hart aber fair,Bildungspolitik,0,0
Hart aber fair,Sonstige Politik,"0,083333333333333","8,33333333333333"
log in,Innenpolitik,"0,619047619047619","61,9047619047619"
log in,Außenpolitik,"0,047619047619048","4,76190476190476"
log in,Umwelt- / Energiepolitik,"0,142857142857143","14,2857142857143"
log in,Sozialpolitik,"0,142857142857143","14,2857142857143"
log in,Bildungspolitik,0,0
log in,Sonstige Politik,"0,047619047619048","4,76190476190476"
maybritt illner,Innenpolitik,"0,6",60
maybritt illner,Außenpolitik,"0,1",10
maybritt illner,Umwelt- / Energiepolitik,"0,1",10
maybritt illner,Sozialpolitik,"0,2",20
maybritt illner,Bildungspolitik,0,0
maybritt illner,Sonstige Politik,0,0
Menschen bei Maischberger,Innenpolitik,"0,4",40
Menschen bei Maischberger,Außenpolitik,0,0
Menschen bei Maischberger,Umwelt- / Energiepolitik,"0,1",10
Menschen bei Maischberger,Sozialpolitik,"0,4",40
Menschen bei Maischberger,Bildungspolitik,0,0
Menschen bei Maischberger,Sonstige Politik,"0,1",10
