Sendung,Themengebiet,Quotient
Gesamt,Alle Themen,"1,48"
ARD-Talks,Alle Themen,"1,38"
Anne Will,Alle Themen,"1,13"
Beckmann,Alle Themen,"1,05"
Günther Jauch,Alle Themen,"1,17"
Hart aber fair,Alle Themen,"1,11"
Menschen bei Maischberger,Alle Themen,"1,1"
log in,Alle Themen,"1,03"
maybrit illner,Alle Themen,"1,28"
Gesamt,Politische & Wirtschaftliche Themen,"1,59"
ARD-Talks,Politische & Wirtschaftliche Themen,"1,47"
Anne Will,Politische & Wirtschaftliche Themen,"1,14"
Beckmann,Politische & Wirtschaftliche Themen,"1,04"
Günther Jauch,Politische & Wirtschaftliche Themen,"1,17"
Hart aber fair,Politische & Wirtschaftliche Themen,"1,11"
Menschen bei Maischberger,Politische & Wirtschaftliche Themen,"1,11"
log in,Politische & Wirtschaftliche Themen,"1,04"
maybrit illner,Politische & Wirtschaftliche Themen,"1,3"
Gesamt,Eurokrise,"1,55"
ARD-Talks,Eurokrise,"1,4"
Anne Will,Eurokrise,"1,09"
Beckmann,Eurokrise,"1,08"
Günther Jauch,Eurokrise,"1,04"
Hart aber fair,Eurokrise,1
Menschen bei Maischberger,Eurokrise,"1,05"
log in,Eurokrise,"1,05"
maybrit illner,Eurokrise,"1,36"
