,CDU / CSU,FDP,SPD,Grüne,Linkspartei,Piratenpartei,Sonstige
"Anne Will
(n=62)","37,20 %","17,70 %","17,70 %","4,90 %","17,70 %","1,60 %","3,20 %"
"Beckmann
(n=38)","34,20 %","15,80 %","31,60 %","10,50 %","2,60 %","5,30 %","0,00 %"
"Günther Jauch
(n=88)","36,40 %","17,00 %","22,70 %","9,10 %","12,50 %","2,30 %","0,00 %"
"hart aber fair
(n=42)","40,40 %","16,70 %","21,40 %","16,70 %","2,40 %","0,00 %","2,40 %"
"Maischberger
(n=35)","37,10 %","8,60 %","28,60 %","5,70 %","11,40 %","2,90 %","5,70 %"
"ARD-Talks
(n=265)","37,00 %","15,80 %","23,30 %","9,10 %","0,00 %","2,30 %","1,90 %"
"log in
(n=60)","31,60 %","20,00 %","10,00 %","16,70 %","11,70 %","10,00 %","0,00 %"
"maybrit illner
(n=87)","34,60 %","19,50 %","19,50 %","14,90 %","8,00 %","3,50 %","0,00 %"
"Alle Sendungen
(n=326)","35,80 %","17,20 %","20,60 %","11,40 %","10,20 %","3,60 %","1,20 %"
Wahlergebnis Bundestagswahl 2009,"33,80 %","14,60 %","23,00 %","10,70 %","11,90 %","2,00 %","4,00 %"
